 0	 1.00e+00	 672800000	 0.800	 0.126	 3363
 1	 5.00e-01	 336400000	 0.800	 0.125	 3363
 2	 2.50e-01	 1042840000	 0.800	 0.176	 3363
 3	 1.25e-01	 1143760000	 0.800	 0.188	 3363
 4	 6.25e-02	 908280000	 0.800	 0.198	 3363
 5	 3.12e-02	 571880000	 0.800	 0.183	 3363
 6	 1.56e-02	 571880000	 0.800	 0.157	 3363
 7	 7.81e-03	 773720000	 0.800	 0.170	 3363
 8	 3.91e-03	 504600000	 0.800	 0.178	 3363
 9	 1.95e-03	 538240000	 0.800	 0.170	 3363
10	 9.77e-04	 504600000	 0.800	 0.185	 3363
11	 4.88e-04	 403680000	 0.800	 0.187	 3363
12	 2.44e-04	 841000000	 0.800	 0.191	 3363
13	 1.22e-04	 706440000	 0.800	 0.196	 3363
14	 6.10e-05	 807360000	 0.800	 0.186	 3363
15	 3.05e-05	 807360000	 0.800	 0.179	 3363
16	 1.53e-05	 1480160000	 0.800	 0.176	 3363
17	 7.63e-06	 2422080000	 0.800	 0.190	 3363
18	 3.81e-06	 3633120000	 0.800	 0.188	 3363
19	 1.91e-06	 2018400000	 0.800	 0.197	 3363
20	 9.54e-07	 7871760000	 0.800	 0.195	 3363
21	 4.77e-07	 4305920000	 0.800	 0.186	 3363
22	 2.38e-07	 8847320000	 0.800	 0.199	 3363
23	 1.19e-07	 3935880000	 0.800	 0.190	 3363
24	 5.96e-08	 24153520000	 0.800	 0.193	 3363
25	 2.98e-08	 28560360000	 0.800	 0.195	 3363
26	 1.49e-08	 14633400000	 0.800	 0.198	 3363

Tempo total: 1.2384 h
