#i 	E(i) 	 	log[g(E)] 	  H(E) 	 	<M> 	 	<M^2> 	 	<M^4>
#----------------------------------------------------------------------------------------------------
0 	 -13448.00 	0.000000   11435863 	 	1.000000 	1.000000 	1.000000 
16 	 -13440.00 	8.854721   11994266 	 	0.999703 	0.999405 	0.998811 
24 	 -13436.00 	9.580197   11590619 	 	0.999405 	0.998811 	0.997623 
32 	 -13432.00 	16.971923   12131885 	 	0.999404 	0.998809 	0.997619 
40 	 -13428.00 	18.363048   11999466 	 	0.999107 	0.998214 	0.996432 
48 	 -13424.00 	24.688606   12413474 	 	0.999104 	0.998210 	0.996423 
56 	 -13420.00 	26.472845   12281961 	 	0.998808 	0.997617 	0.995241 
64 	 -13416.00 	32.118943   12582997 	 	0.998803 	0.997608 	0.995222 
72 	 -13412.00 	34.199536   12320636 	 	0.998508 	0.997019 	0.994047 
80 	 -13408.00 	39.349163   12581581 	 	0.998501 	0.997005 	0.994019 
88 	 -13404.00 	41.616581   12248005 	 	0.998209 	0.996421 	0.992855 
96 	 -13400.00 	46.394459   12493290 	 	0.998196 	0.996394 	0.992802 
104 	 -13396.00 	48.842253   12376890 	 	0.997905 	0.995814 	0.991646 
112 	 -13392.00 	53.310679   12296562 	 	0.997886 	0.995776 	0.991569 
120 	 -13388.00 	55.886639   12077426 	 	0.997601 	0.995208 	0.990438 
128 	 -13384.00 	60.094827   12193703 	 	0.997575 	0.995156 	0.990336 
136 	 -13380.00 	62.787406   12056445 	 	0.997296 	0.994599 	0.989227 
144 	 -13376.00 	66.763087   12022008 	 	0.997261 	0.994529 	0.989087 
152 	 -13372.00 	69.535097   12091775 	 	0.996990 	0.993989 	0.988015 
160 	 -13368.00 	73.338060   11980038 	 	0.996942 	0.993894 	0.987825 
168 	 -13364.00 	76.181601   12037725 	 	0.996680 	0.993371 	0.986786 
176 	 -13360.00 	79.830004   11964669 	 	0.996621 	0.993254 	0.986554 
184 	 -13356.00 	82.724323   11963597 	 	0.996371 	0.992755 	0.985562 
192 	 -13352.00 	86.251288   11944323 	 	0.996299 	0.992612 	0.985278 
200 	 -13348.00 	89.178498   12092462 	 	0.996059 	0.992134 	0.984330 
208 	 -13344.00 	92.591549   12070018 	 	0.995971 	0.991959 	0.983982 
216 	 -13340.00 	95.544018   12125952 	 	0.995744 	0.991506 	0.983085 
224 	 -13336.00 	98.871607   12161474 	 	0.995649 	0.991316 	0.982708 
232 	 -13332.00 	101.837421   12389625 	 	0.995427 	0.990875 	0.981833 
240 	 -13328.00 	105.095139   12393261 	 	0.995321 	0.990663 	0.981414 
248 	 -13324.00 	108.079967   12445290 	 	0.995108 	0.990241 	0.980577 
256 	 -13320.00 	111.264756   12357943 	 	0.994992 	0.990010 	0.980120 
264 	 -13316.00 	114.241022   12494313 	 	0.994788 	0.989603 	0.979314 
272 	 -13312.00 	117.375369   12449944 	 	0.994665 	0.989358 	0.978830 
280 	 -13308.00 	120.355047   12552547 	 	0.994464 	0.988958 	0.978038 
288 	 -13304.00 	123.442522   12559682 	 	0.994333 	0.988698 	0.977523 
296 	 -13300.00 	126.413154   12622840 	 	0.994140 	0.988315 	0.976767 
304 	 -13296.00 	129.457410   12602363 	 	0.994001 	0.988038 	0.976219 
312 	 -13292.00 	132.416932   12678476 	 	0.993818 	0.987674 	0.975500 
320 	 -13288.00 	135.430521   12557343 	 	0.993671 	0.987383 	0.974925 
328 	 -13284.00 	138.379478   12635386 	 	0.993492 	0.987027 	0.974222 
336 	 -13280.00 	141.362236   12441757 	 	0.993338 	0.986721 	0.973619 
344 	 -13276.00 	144.295906   12588544 	 	0.993162 	0.986371 	0.972929 
352 	 -13272.00 	147.251585   12433709 	 	0.993011 	0.986070 	0.972335 
360 	 -13268.00 	150.173109   12610009 	 	0.992833 	0.985718 	0.971640 
368 	 -13264.00 	153.097470   12543836 	 	0.992678 	0.985410 	0.971034 
376 	 -13260.00 	156.003291   12589292 	 	0.992504 	0.985065 	0.970353 
384 	 -13256.00 	158.913917   12515079 	 	0.992346 	0.984751 	0.969736 
392 	 -13252.00 	161.800013   12600352 	 	0.992174 	0.984408 	0.969060 
400 	 -13248.00 	164.690643   12424772 	 	0.992010 	0.984085 	0.968423 
408 	 -13244.00 	167.563024   12557959 	 	0.991841 	0.983748 	0.967761 
416 	 -13240.00 	170.429144   12616862 	 	0.991676 	0.983421 	0.967117 
424 	 -13236.00 	173.286168   12499967 	 	0.991506 	0.983083 	0.966454 
432 	 -13232.00 	176.140910   12489682 	 	0.991338 	0.982750 	0.965799 
440 	 -13228.00 	178.986291   12375886 	 	0.991169 	0.982416 	0.965141 
448 	 -13224.00 	181.810110   12477427 	 	0.991002 	0.982085 	0.964492 
456 	 -13220.00 	184.644939   12239676 	 	0.990833 	0.981751 	0.963835 
464 	 -13216.00 	187.452258   12410403 	 	0.990666 	0.981419 	0.963184 
472 	 -13212.00 	190.261855   12308512 	 	0.990497 	0.981084 	0.962526 
480 	 -13208.00 	193.060376   12385894 	 	0.990329 	0.980752 	0.961876 
488 	 -13204.00 	195.856038   12272062 	 	0.990156 	0.980409 	0.961203 
496 	 -13200.00 	198.643681   12362518 	 	0.989994 	0.980087 	0.960572 
504 	 -13196.00 	201.426582   12180051 	 	0.989818 	0.979739 	0.959889 
512 	 -13192.00 	204.194654   12220205 	 	0.989654 	0.979415 	0.959255 
520 	 -13188.00 	206.960137   12255190 	 	0.989481 	0.979073 	0.958585 
528 	 -13184.00 	209.723277   12259960 	 	0.989311 	0.978736 	0.957924 
536 	 -13180.00 	212.465958   12316846 	 	0.989140 	0.978397 	0.957262 
544 	 -13176.00 	215.221566   12299935 	 	0.988969 	0.978060 	0.956603 
552 	 -13172.00 	217.952756   12363606 	 	0.988799 	0.977724 	0.955945 
560 	 -13168.00 	220.691843   12323380 	 	0.988628 	0.977385 	0.955282 
568 	 -13164.00 	223.414850   12288522 	 	0.988456 	0.977045 	0.954618 
576 	 -13160.00 	226.140173   12269976 	 	0.988282 	0.976702 	0.953948 
584 	 -13156.00 	228.845841   12291775 	 	0.988112 	0.976366 	0.953292 
