 0	 1.00e+00	 41460736	 0.800	 0.191	 1023 
 1	 5.00e-01	 41990144	 0.800	 0.200	 1023 
 2	 2.50e-01	 34980864	 0.800	 0.200	 1023 
 3	 1.25e-01	 65390592	 0.800	 0.200	 1023 
 4	 6.25e-02	 42200064	 0.800	 0.200	 1023 
 5	 3.12e-02	 37910528	 0.800	 0.200	 1023 
 6	 1.56e-02	 37810176	 0.800	 0.200	 1023 
 7	 7.81e-03	 31780864	 0.800	 0.200	 1023 
 8	 3.91e-03	 40700928	 0.800	 0.200	 1023 
 9	 1.95e-03	 26930176	 0.800	 0.200	 1023 
10	 9.77e-04	 27390976	 0.800	 0.200	 1023 
11	 4.88e-04	 68870144	 0.800	 0.200	 1023 
12	 2.44e-04	 93510656	 0.800	 0.200	 1023 
13	 1.22e-04	 107020288	 0.800	 0.200	 1023 
14	 6.10e-05	 87211008	 0.800	 0.200	 1023 
15	 3.05e-05	 192860160	 0.800	 0.200	 1023 
16	 1.53e-05	 331180032	 0.800	 0.200	 1023 
17	 7.63e-06	 351760384	 0.800	 0.200	 1023 
18	 3.81e-06	 198890496	 0.800	 0.200	 1023 
19	 1.91e-06	 462410752	 0.800	 0.200	 1023 
20	 9.54e-07	 1447120896	 0.800	 0.200	 1023 
21	 4.77e-07	 655220736	 0.800	 0.200	 1023 
22	 2.38e-07	 1532840960	 0.800	 0.200	 1023 
23	 1.19e-07	 317050880	 0.800	 0.199	 1023 
24	 5.96e-08	 1922280448	 0.800	 0.200	 1023 
25	 2.98e-08	 1306750976	 0.800	 0.200	 1023 
26	 1.49e-08	 524770304	 0.800	 0.200	 1023 
